protein_annotation	regex_label	manual_label	note
Kelch domain-containing protein 3 isoform X3	proper	proper	
Cation transporter ChaC-like protein	proper	proper	
Phage portal protein BeeE	proper	proper	
Protein of uncharacterized function (DUF2591)	low informative	low	
Peptidyl-tRNA hydrolase domain containing protein	proper	proper	
3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	proper	proper	
Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)	proper	proper	
"Multifunctional fusion protein [Includes: Cell division protein FtsZ; Cell division protein FtsA]"	proper	proper	
Crinkler family protein	proper	proper	
Antirestriction protein KlcA	proper	proper	
DNA polymerase A	proper	proper	
MobA/MobL protein domain-containing protein	proper	proper	
Elp3/MiaA/NifB-like radical SAM core domain-containing protein	proper	proper	
Putative phage-related protein	uninformative	uninformative	
Cyclic di-GMP phosphodiesterase response regulator RpfG (EC 3.1.4.52)	proper	proper	
Septum formation inhibitor Maf	proper	proper	
Phage protein, HK97	proper	uninformative	
Cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)	proper	proper	
Uncharacterized protein LOC111446248	uninformative	uninformative	
Penicillin amidase protein	proper	proper	
ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)	proper	proper	
GTP cyclohydrolase FolE2 (EC 3.5.4.16)	proper	proper	
Integrase catalytic subunit (Transposase IS1604)	proper	proper	
Kelch 18 isoform X2	proper	proper	
Phosphopantothenate--cysteine ligase 1	proper	proper	
Major head subunit	proper	proper	
Estrogen-related receptor gamma	proper	proper	
Mu DNA binding, I gamma subdomain	proper	proper	
I-SroI	proper	proper	
NMT1/THI5 like protein	proper	proper	
Uncharacterized protein (DUF697 family)	low informative	low	
Uncharacterized protein LOC113052371	uninformative	uninformative	
S-adenosylmethionine synthase (EC 2.5.1.6)	proper	proper	
beta-galactosidase (EC 3.2.1.23)	proper	proper	
Histone macroH2A1.1	proper	proper	
FCP1 homology domain-containing protein	proper	proper	
Bifunctional dihydrofolate reductase/thymidylate synthase	proper	proper	
Collagen alpha-5 chain	proper	proper	
Cell surface glycoprotein CD200 receptor 1-like isoform X3	proper	proper	
Phage I protein	proper	uninformative	
SPFH/band 7/PHB domain membrane-associated family protein	proper	proper	
DUF6760 domain-containing protein	low informative	low	
Putative ATP-dependent DNA helicase CHR12 isoform C (Putative ATP-dependent DNA helicase CHR12 isoform D)	proper	proper	
Transcriptional regulator, XRE family (XRE family transcriptional regulator, HtH motif)	proper	proper	
UPF0105 protein C14orf124 homolog	proper	low	
Tail fiber assembly protein-like protein	proper	proper	
DNA-binding plasmid partitioning protein (DNA-binding protein)	proper	proper	
Putative kelch domain-containing protein	proper	proper	
Protein of uncharacterized function (DUF2971)	low informative	low	
Single-stranded DNA-binding protein A (SSB A)	proper	proper	
Outer membrane assembly protein (EC 3.5.4.13)	proper	proper	
Probable streptomycin biosynthesis operon possible regulatory protein	proper	proper	
Calcium uptake protein 2, mitochondrial (EF-hand domain-containing family member A1)	proper	proper	
Phage protein transfer agent-like protein	proper	uninformative	
Protein 25-like lysozyme	proper	proper	
C6orf130 (O-acetyl-ADP-ribose deacetylase 1-like)	proper	proper	
Gp9	uninformative	uninformative	
(S)-ureidoglycine aminohydrolase (UGHY) (UGlyAH) (EC 3.5.3.26)	proper	proper	
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	proper	proper	
DUF1391 domain-containing protein	low informative	low	
Possible bacteriophage antirepressor	proper	proper	
DUF2761 domain-containing protein	low informative	low	
Helicase, lymphoid-specific	proper	proper	
Pur operon repressor	proper	proper	
Progesterone 5-beta-reductase (EC 1.1.1.145)	proper	proper	
Repressor protein CI	proper	proper	
RecQ family ATP-dependent DNA helicase	proper	proper	
Uncharacterized ATP-dependent helicase ywqA (EC 3.6.4.-)	proper	proper	
Prolyl 3-hydroxylase 3 (EC 1.14.11.7) (Leprecan-like protein 2) (Protein B)	proper	proper	
Complement C1q-like protein 4	proper	proper	
Uncharacterized protein LOC114848778	uninformative	uninformative	
Ribosome maturation factor RimP	proper	proper	
Integrase catalytic domain-containing protein	proper	proper	
Putative Rha-like protein	proper	proper	
Type IV pilus secretin PilQ	proper	proper	
NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	proper	proper	
Delta-60 repeat protein	proper	low	
Atp-dependent dna ligase	proper	proper	
Calx-beta domain protein	proper	proper	
Zot domain-containing protein	proper	proper	
Tail length determinator	proper	proper	
Uncharacterized protein LOC113070496	uninformative	uninformative	
PBSX family phage portal protein	proper	proper	
Piso0_003500 protein	proper	proper	
DUF1506 domain-containing protein	low informative	low	
von Willebrand factor A domain-containing protein 1	proper	proper	
MaoC-like dehydratase	proper	proper	
Cpn60 chaperonin family protein	proper	proper	
NADPH-dependent methylglyoxal reductase GRE2 (EC 1.1.1.283) (3-methylbutanal reductase) (EC 1.1.1.265) (Genes de respuesta a estres protein 2) (Isovaleraldehyde reductase)	proper	proper	
Copper-exporting P-type ATPase A	proper	proper	
Oxalate decarboxylase family protein	proper	proper	
Scyllo-inositol 2-dehydrogenase (NAD(+))	proper	proper	
Integrase, site-specific recombinase	proper	proper	
Transcription elongation protein SprT	proper	proper	
Heat-shock protein Hsp20	proper	proper	
Linear primary-alkylsulfatase (EC 3.1.6.21) (Primary type-III alkylsulfatase) (Type III linear primary-alkylsulfatase)	proper	proper	
TldD/PmbA family protein	proper	proper	
Putative alpha-ketoglutarate-dependent dioxygenase ABH6	proper	proper	
Chromosome partitioning protein, ParB family	proper	proper	
Immunoglobulin-binding protein EibF	proper	proper	
Choline sulfatase	proper	proper	
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4-like	proper	proper	
H514	proper	uninformative	
N-alpha-acetyltransferase 60 (hNaa60) (EC 2.3.1.259) (Histone acetyltransferase type B protein 4) (HAT4) (EC 2.3.1.48) (N-acetyltransferase 15) (N-alpha-acetyltransferase F) (NatF)	proper	proper	
Zinc-binding loop region of homing endonuclease domain-containing protein	proper	proper	
Spike protein P5 (Protein P5)	proper	proper	
Cilia and flagella associated protein 47	proper	proper	
Prophage PSPPH02, putative chitinase	proper	proper	
Transmembrane prolyl 4-hydroxylase	proper	proper	
Prophage PssSM-02, tail protein	proper	proper	
Mu-like prophage major head subunit gpt-like protein	proper	proper	
CapR homology domain-containing protein	proper	proper	
HUS1 protein	proper	proper	
dCMP deaminase Late competence protein ComEB	proper	proper	
Chaperonin GroL	proper	proper	
Uncharacterized protein LOC115210905 isoform X2	proper	uninformative	
Membrane-bound lytic murein transglycosylase E (EC 3.2.1.-)	proper	proper	
Phage maturation protease	proper	proper	
CAZy families GH2|CBM32 protein	proper	proper	
Beta type-1 subunit of proteasome	proper	proper	
Putative DNA topoisomerase-primase	proper	proper	
RBR-type E3 ubiquitin transferase (EC 2.3.2.31)	proper	proper	
RNA exonuclease Rex2, putative	proper	proper	
Bm4830, isoform c	proper	proper	
PucR-like helix-turn-helix protein	proper	proper	
Terminase ATPase subunit family protein	proper	proper	
ATP-dependent Clp protease adapter protein CLPS1, chloroplastic	proper	proper	
DNA polymerase III subunit alpha (EC 2.7.7.7)	proper	proper	
AMIN domain-containing protein	proper	proper	
DNA (Cytosine-5-)-methyltransferase (EC 2.1.1.37)	proper	proper	
Putative neuraminidase (EC 3.2.1.18)	proper	proper	
Class I chitinase	proper	proper	
Putative DNA repair and recombination protein RAD54B	proper	proper	
Putative Oxidoreductase	proper	proper	
Phosphosugar isomerase	proper	proper	
Bcs1 aaa-type ATPase, putative	proper	proper	
Putative phage exonuclease (EC 2.7.7.7)	proper	proper	
Phosphopantothenate--cysteine ligase CAB2	proper	proper	
Psq-like protein with HTH domain	proper	proper	
Bifunctional tRNA (Adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN	proper	proper	
DNA repair protein recA-like protein 3, mitochondrial-like	proper	proper	
Uncharacterized protein stfE	uninformative	uninformative	
Flagellar basal-body rod protein FlgG (Distal rod protein) (Muramidase FlgJ) (Peptidoglycan hydrolase FlgJ)	proper	proper	
ATP-dependent helicase	proper	proper	
Hca operon transcriptional activator HcaR	proper	proper	
Neutral ceramidase (EC 3.5.1.23)	proper	proper	
cinnamyl-alcohol dehydrogenase (EC 1.1.1.195)	proper	proper	
Flagellar assembly peptidoglycan hydrolase FlgJ	proper	proper	
Oligoribonuclease	proper	proper	
mRNA (guanine-N(7))-methyltransferase (EC 2.1.1.56)	proper	proper	
Choline binding protein A	proper	proper	
Prophage LambdaSo, transcriptional regulator, Cro/CI family	proper	proper	
DUF669 domain-containing protein	low informative	low	
DNA polymerase III subunit delta	proper	proper	
DnaA regulatory inactivator Hda (DnaA paralog) (Dp)	proper	proper	
PolC-type DNA polymerase III	proper	proper	
Host-nuclease inhibitor protein	proper	proper	
Acyl-n-acyltransferase	proper	proper	
BH1520 protein	proper	proper	
Putative prophage antirepressor, BRO-domain protein	proper	proper	
Transporter substrate-binding protein	proper	proper	
Putative Complement C1q tumor necrosis factor-related protein 4	proper	proper	
Alkyl hydroperoxide reductase	proper	proper	
Kelch repeat and BTB domain-containing protein 10	proper	proper	
Integral membrane protein TerC family	proper	proper	
Predicted phage repressor	proper	proper	
SNF2 family DNA or RNA helicase	proper	proper	
Hsp20	proper	proper	
ADP-ribose-binding protein	proper	proper	
Autotransporter adhesin EhaG	proper	proper	
MFS transporter	proper	proper	
Conjugative relaxase domain protein	proper	proper	
Tail tube terminator protein p142 (TrP-142) (Tail protein p142) (Tail-to-head joining protein p142) (THJP)	proper	proper	
DNA circularisation protein N-terminus	proper	proper	
Thioredoxin related transmembrane protein 1	proper	proper	
Glutamine amidotransferase domain-containing protein	proper	proper	
Phage regulator Rha-like protein	proper	proper	
PE-PPE domain-containing protein	proper	low	
Leucine-zipper-like transcriptional regulator	proper	proper	
Bacterial regulatory helix-turn-helix protein, LysR family protein 135	proper	proper	
ATP-dependent helicase with nucleoside triP hydrolase domain	proper	proper	
IclR-like helix-turn-helix domain-containing protein	proper	proper	
Putative cupin domain-containing protein	proper	proper	
Phage protein U (Phage tail protein)	proper	proper	
Maj_tail_phi13: phage major tail protein, phi13 family	proper	proper	
YPR024Wp-like protein	proper	proper	in training data labeled as uninformative, but has function attached in UniProt
Pilus assembly protein PilP	proper	proper	
GOLD domain-containing protein	proper	proper	
Phage coat protein	proper	proper	
Flotillin-like protein 2	proper	proper	
DNA polymerase III subunit	proper	proper	
Type VII secretion system protein EssD-like domain-containing protein	proper	proper	
Oxidoreductase UcpA (EC 1.-.-.-)	proper	proper	
Prohibitin-3, mitochondrial-like	proper	proper	
RNA-directed RNA polymerase (EC 2.7.7.48)	proper	proper	
ATP-dependent 26S proteasome regulatory subunit	proper	proper	
Phage tail/DNA circulation protein	proper	proper	
Tyrosine recombinase, XerD subunit	proper	proper	
Uncharacterized HTH-type transcriptional regulator YfeR	proper	proper	
Enoyl-CoA hydratase, EchA3	proper	proper	
Bifunctional transcriptional activator/DNA repair enzyme AdaA	proper	proper	
Putative SAM-dependent methyltransferase	proper	proper	
Fibro-slime domain-containing protein	proper	proper	
Putative T5 A1-like protein	proper	proper	
RING-13 protein	proper	proper	
Putative lectin/glucanase superfamily protein	proper	proper	
Putative chaperonin Cpn60/TCP-1 family	proper	proper	
NEQ500	proper	uninformative	
ATP-dependent nuclease subunit B	proper	proper	
D-cysteine desulfhydrase/L-cysteate sulfo-lyase (EC 4.4.1.15, EC 4.4.1.25)	proper	proper	
Uncharacterized protein LOC107458226	uninformative	uninformative	
Nitrite reductase [NAD(P)H], large subunit	proper	proper	
HYR domain-containing protein	proper	proper	
tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)	proper	proper	
Putative N-acetyltransferase YhbS	proper	proper	
tRNA N(3)-methylcytidine methyltransferase METTL6 (EC 2.1.1.-) (Methyltransferase-like protein 6) (hMETTL6)	proper	proper	
Putative DNA-binding transcriptional regulator YafY	proper	proper	
Arginyl-tRNA synthetase (EC 1.15.1.1) (EC 6.1.1.19)	proper	proper	
dCTP deaminase	proper	proper	
Adenine phosphoribosyltransferase (EC 2.4.2.7)	proper	proper	
Kelch-like family member 13	proper	proper	
Putative lipoprotein	proper	proper	
Zinc finger-like domain-containing protein	proper	proper	
C1q domain containing protein	proper	proper	
Lysine-specific demethylase 7A (JmjC domain-containing histone demethylation protein 1D) (Lysine-specific demethylase 7) ([histone H3]-dimethyl-L-lysine9 demethylase 7A) (EC 1.14.11.65)	proper	proper	
DnaJ subfamily B member 5	proper	proper	
Thiol-disulfide isomerase/thioredoxin	proper	proper	
CAB2 protein (Phosphopantothenoylcysteine synthetase)	proper	proper	
Uncharacterized protein family UPF0150	proper	low	
Nucleic acid-binding protein	proper	proper	
Minor curlin subunit	proper	proper	
Putative Acyl-homoserine lactone acylase PvdQ (EC 3.5.1.97)	proper	proper	
Guanosine deaminase (EC 3.5.4.15) (tRNA-specific adenosine deaminase TAD4) (AtTAD4)	proper	proper	
Flotillin-2 isoform 2	proper	proper	
Quercetin dioxygenase-like cupin family protein	proper	proper	
General secretion pathway protein-related protein, ATPase	proper	proper	
Phage-like protein	uninformative	uninformative	
Geranylgeranyl reductase	proper	proper	
PHIKZ074	proper	proper	
Putative sulfate transport protein CysZ	proper	proper	
Major head protein	proper	proper	
Metallo-dependent phosphatase-5	proper	proper	
Twinkle mitochondrial-like protein	proper	proper	
Chromodomain-helicase-DNA-binding protein 1-like	proper	proper	
Phosphoglycolate phosphatase	proper	proper	
Putative gene 66 protein	proper	uninformative	
RING finger 151-like	proper	proper	
26s protease regulatory subunit 10b (EC 3.6.1.15, EC 3.6.1.3)	proper	proper	
Putative L-threonine 3-dehydrogenase (EC 1.1.1.103)	proper	proper	
Chromosomal replication initiator protein DnaA domain-containing protein	proper	proper	
Aldehyde dehydrogenase	proper	proper	
3D domain protein	proper	uninformative	
DHH superfamily phosphohydrolase-like protein	proper	proper	
Ras guanine nucleotide exchange factor F-like isoform X3	proper	proper	
Dihydrofolate reductase type 1 (EC 1.5.1.3) (Dihydrofolate reductase type I) (Trimethoprim resistance protein)	proper	proper	
DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37)	proper	proper	
1-Aminocyclopropane-1-carboxylate deaminase	proper	proper	
DnaA initiator-associating protein DiaA	proper	proper	
Thiamine diphosphokinase	proper	proper	
Thioredoxin reductase 1, mitochondrial (EC 1.8.1.9)	proper	proper	
SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein	proper	proper	
Putative teichuronic acid biosynthesis glycosyltransferase TuaC (EC 2.4.-.-)	proper	proper	
Uroporphyrinogen decarboxylase (EC 4.1.1.37)	proper	proper	
Probable intron-encoded endonuclease 1 (EC 3.1.-.-)	proper	proper	
Phage tail fiber protein	proper	proper	
Ice nucleation protein repeat	proper	proper	
Related to 1-acyldihydroxyacetone-phosphate reductase	proper	proper	
